BHK,type,ownership,bathroom,balcony,city,location,Rate_per_sqft,bedroom,total_area,Price,status,transaction,facing
2,Flat,Freehold,2,2,Delhi,Govindpuri Extension,10000,2,330,3300000,Ready to Move,Resale,East
4,Flat,Freehold,4,3,Gurgaon,Tulip Ivory,5536,4,4335.260116,24000000,Ready to Move,Resale,East
3,Flat,Leasehold,3,3,Gurgaon,Ramprastha The Edge Towers,8750,3,1097.142857,9600000,Ready to Move,Resale,
2,Flat,,2,NA,Delhi,Private Builders Independent Floor,15854,2,441.5289517,7000000,Ready to Move,Resale,
2,Flat,,2,NA,Delhi,Lado Sarai,16774,2,357.696435,6000000,Ready to Move,Other,
3,Flat,,2,NA,Delhi,Mahalaxmi Apartment,11499,3,1478.389425,17000000,Ready to Move,Resale,
3,Flat,,2,NA,Delhi,DDA Flats Sector B Pocket 5 & 6,8065,3,3223.806572,26000000,Ready to Move,Resale,
3,Flat,,3,NA,Gurgaon,orchid petals,7104,3,3336.148649,23700000,Ready to Move,Resale,
2,Flat,,2,NA,Delhi,Mahavir Enclave,NA,2,NA,7500000,,Resale,
2,Flat,,2,NA,Delhi,Shivam Apartment,NA,2,NA,11000000,,Resale,
2,Flat,,2,NA,Noida,The Hyde Park,NA,2,NA,6500000,,Resale,
2,Flat,Freehold,2,3,Faridabad,Faridabad,7222,2,900.0276932,6500000,Ready to Move,Resale,East
2,Flat,Freehold,2,2,Ghaziabad,Indirapuram,7124,2,491.2970241,3500000,Ready to Move,Resale,North
3,Flat,Freehold,4,2,Ghaziabad,Aditya Mega City,9055,3,1490.889012,13500000,Ready to Move,Resale,East
3,Flat,Freehold,2,1,Delhi,Hari Nagar,8615,3,1334.881021,11500000,Ready to Move,Resale,North - East
1,Flat,Freehold,1,2,Gurgaon,Bestech Park View Residency,14699,1,380.9782978,5600000,Ready to Move,Resale,North - East
4,Flat,Leasehold,4,2,Gurgaon,DLF Nestle House,6855,4,4814.004376,33000000,Ready to Move,Resale,East
3,Flat,Freehold,3,3,Delhi,Shivalik Colony,38314,3,1109.255103,42500000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,3,Ghaziabad,Vardaan Apartments,7030,2,1209.103841,8500000,Ready to Move,Resale,North - East
5,Flat,Freehold,6,2,Gurgaon,Badshahpur Gurgaon,8086,5,14840.465,120000000,Ready to Move,Resale,North
3,Flat,Freehold,4,3,Noida,Griha Pravesh,4018,3,3982.080637,16000000,Ready to Move,Resale,East
2,Flat,Freehold,2,1,Gurgaon,Suncity Avenue 102,9877,2,496.1020553,4900000,Ready to Move,Resale,North - East
2,Flat,Freehold,3,1,Ghaziabad,Paramount Symphony,2593,2,1561.897416,4050000,Ready to Move,Other,South -West
2,Flat,Leasehold,2,1,Delhi,Rohini Sector 9,4592,2,3048.780488,14000000,Ready to Move,Resale,East
4,Flat,Freehold,2,1,Delhi,Roshanpura,14783,4,541.1621457,8000000,Ready to Move,Resale,North - East
3,Flat,Leasehold,2,2,Delhi,Roshanpura,6111,3,572.7376861,3500000,Ready to Move,New Property,East
2,Flat,,2,3,Delhi,Adarsh Apartment,6222,2,2732.240437,17000000,Ready to Move,Resale,
1,Flat,,1,1,Delhi,Empire Apartment,8696,1,344.9862006,3000000,Ready to Move,Resale,
2,Flat,,2,4,Delhi,Khirki extension,14864,2,296.0172228,4400000,Ready to Move,Resale,
4,Flat,,3,4,Faridabad,Ashoka Enclave Part 2,7199,4,1944.714544,14000000,Ready to Move,Resale,
3,Flat,,3,NA,Gurgaon,The Adarsh Apartment,1806,3,11074.19712,20000000,Ready to Move,Resale,
5,Flat,,5,NA,Noida,Gamma 1 Block C,9909,5,2422.040569,24000000,Ready to Move,New Property,
3,Flat,,3,NA,Delhi,Rani Bagh,10878,3,1287.001287,14000000,Poss. by Dec '23,New Property,
2,Flat,,2,NA,Noida,Sikka Kaamna Greens,14095,2,587.4423554,8280000,Ready to Move,New Property,
1,Flat,,1,NA,Delhi,Chhattarpur Enclave Phase2,3333,1,390.0390039,1300000,Ready to Move,Resale,
2,Flat,,2,NA,Delhi,Dwarka Sector 16,NA,2,NA,8000000,Ready to Move,Resale,
3,Flat,,3,NA,Noida,Jaypee Greens Imperial Court,NA,3,NA,28500000,Ready to Move,Resale,
4,Flat,,4,NA,Gurgaon,Tata Primanti,NA,4,NA,37000000,Ready to Move,Resale,
5,Flat,,2,NA,Delhi,Saboli New Delhi,NA,5,NA,6000000,,,
2,Flat,Freehold,2,2,Gurgaon,Sector 69,10000,2,800,8000000,Ready to Move,Resale,West
2,Flat,Freehold,2,2,Delhi,Mayfair Apartments,8571,2,1050.052503,9000000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,1,Delhi,DDA Flats Sarita Vihar,8529,3,1700.082073,14500000,Ready to Move,Resale,East
3,Flat,Freehold,3,1,Delhi,Greater Kailash 1,14423,3,1872.009984,27000000,Ready to Move,Resale,South -West
2,Flat,Freehold,2,1,Noida,Greater Noida West,5405,2,925.0693802,5000000,Ready to Move,Resale,West
1,Flat,Freehold,1,1,Gurgaon,Project Housing Board Colony,6667,1,674.9662517,4500000,Ready to Move,Resale,North
2,Flat,Freehold,3,4,Ghaziabad,Sector 23 Sanjay Nagar Ghaziabad,10000,2,1350,13500000,Ready to Move,Resale,East
3,Flat,Leasehold,2,1,Ghaziabad,SG Grand,4391,3,1150.079708,5050000,Ready to Move,Resale,East
3,Flat,Freehold,3,1,Ghaziabad,Gyan Khand 1,6372,3,1836.158192,11700000,Ready to Move,New Property,North - East
7,Flat,Freehold,10,3,Gurgaon,Sector 22B Gurgaon,10000,7,5000,50000000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,3,Ghaziabad,Gaur Heights,6212,2,1320.025757,8200000,Ready to Move,Resale,East
3,Flat,Leasehold,2,2,Delhi,Promise Apartments,8750,3,1200,10500000,Ready to Move,Resale,North - East
4,Flat,Freehold,4,1,Gurgaon,DLF Imperial Residences,14952,4,2100.053505,31400000,Ready to Move,Resale,
4,Flat,Leasehold,4,2,Delhi,Punjabi Bagh West,16667,4,4499.910002,75000000,Ready to Move,New Property,
2,Flat,,2,1,Noida,Nirala Greenshire,6099,2,1060.829644,6470000,Ready to Move,Resale,
3,Flat,,3,3,Gurgaon,Ansals Palam Vihar,6944,3,3240.207373,22500000,Ready to Move,New Property,
,Flat,,2,3,Gurgaon,One Key Resiments,14000,1,1150,16100000,Ready to Move,Resale,
3,Flat,,3,2,Noida,Stellar Sigma,4167,3,1799.856012,7500000,Ready to Move,Resale,
3,Flat,,3,2,Delhi,Mandi,4704,3,1349.914966,6350000,Ready to Move,New Property,
3,Flat,,3,NA,Delhi,Sarita Vihar,13793,3,1450.010875,20000000,Ready to Move,Resale,
3,Flat,,3,NA,Gurgaon,Urban Oasis,18000,3,2500,45000000,Poss. by Apr '27,Resale,
3,Flat,,3,NA,Delhi,Defence Colony,30263,3,1900.009913,57500000,Ready to Move,Resale,
3,Flat,,2,NA,Ghaziabad,Mahindra Enclave,2000,3,1250,2500000,Ready to Move,Resale,
2,Flat,,2,NA,Delhi,Uttam Nagar New Delhi,3704,2,1349.892009,5000000,Ready to Move,Resale,
3,Flat,Freehold,3,2,Noida,Jaypee Aman,4083,3,1347.048739,5500000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,2,Ghaziabad,Wave City,4506,2,932.0905459,4200000,Ready to Move,Resale,East
2,Flat,Freehold,3,3,Delhi,Rajokri New Delhi,12444,2,1125.04018,14000000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,1,Delhi,Rajokri New Delhi,45455,3,164.99835,7500000,Ready to Move,Resale,North - East
3,Flat,Freehold,2,2,Delhi,Garden Estate,11500,3,2000,23000000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,2,Delhi,Amritpuri,7959,2,980.0226159,7800000,Ready to Move,Resale,North - East
3,Flat,Freehold,2,2,Ghaziabad,Sector 12 Pratap Vihar,3097,3,1549.886987,4800000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,4,Gurgaon,Godrej Iria,9545,3,2200.104767,21000000,Poss. by Apr '27,New Property,North
2,Flat,Freehold,2,6,Noida,Sector 1,2396,2,959.933222,2300000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,4,Delhi,Janakpuri,10256,3,2925.117005,30000000,Ready to Move,New Property,North - West
4,Flat,Power Of Attorney,6,2,Delhi,Sector 19B Dwarka,17188,4,3199.906912,55000000,Poss. by Apr '26,New Property,East
4,Flat,Freehold,4,1,Delhi,Sarvodaya Enclave,30000,4,2500,75000000,Ready to Move,New Property,North - East
2,Flat,Freehold,3,1,Noida,UPSIDC Site C Block E Greater Noida,4114,2,1507.049101,6200000,Ready to Move,Resale,North - East
3,Flat,Leasehold,2,2,Noida,UPSIDC Site C Block G,3629,3,1295.122623,4700000,Ready to Move,Resale,North - East
6,Flat,Leasehold,6,4,Delhi,Janakpuri Block A3,35185,6,2700.014211,95000000,Poss. by Dec '23,Resale,North - West
3,Flat,Freehold,3,3,Gurgaon,Signature Global City 37D,6649,3,1306.963453,8690000,Ready to Move,New Property,East
2,Flat,Freehold,2,4,Noida,Omaxe Grandwoods,7895,2,1139.962001,9000000,Ready to Move,Resale,South - East
2,Flat,Freehold,2,1,Delhi,Paryavaran Complex,3333,2,750.0750075,2500000,Ready to Move,Resale,
4,Flat,,4,NA,Delhi,Paschim Vihar,13889,4,2699.9784,37500000,Ready to Move,Resale,
3,Flat,,2,NA,Noida,Panchsheel Pratishtha,8324,3,1489.668429,12400000,Ready to Move,Resale,
2,Flat,,2,NA,Noida,Aims Green Avenue,4500,2,960,4320000,Ready to Move,New Property,
1,Flat,,1,NA,Gurgaon,Central Park The Room,17059,1,849.991207,14500000,Ready to Move,Resale,
4,Flat,,5,NA,Gurgaon,Tatvam Villas,17500,4,4000,70000000,Ready to Move,Resale,
1,Flat,,2,NA,Gurgaon,Jyoti Park,11000,1,300,3300000,Ready to Move,Resale,
3,Flat,,3,NA,Gurgaon,Emaar Gurgaon Greens,8182,3,1649.963334,13500000,,New Property,
4,Flat,Freehold,4,4,Gurgaon,Mahindra Luminare,18897,4,3624.914008,68500000,Ready to Move,New Property,North - East
3,Flat,Leasehold,4,3,Noida,Uppal Plumeria Garden Estate,4533,3,1875.137878,8500000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,4,Noida,Cleo County,12560,3,2070.063694,26000000,Ready to Move,Resale,East
4,Flat,Freehold,4,2,Delhi,New Friends Colony Floors,16667,4,4499.910002,75000000,Ready to Move,New Property,South
2,Flat,Freehold,2,2,Delhi,Neb Sarai,4154,2,649.9759268,2700000,Ready to Move,Resale,East
2,Flat,Freehold,2,2,Ghaziabad,Ghaziabad,4480,2,1250,5600000,Ready to Move,Resale,East
2,Flat,Freehold,2,2,Ghaziabad,Jaipuria Sunrise Greens,4799,2,1146.072098,5500000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,3,Ghaziabad,Saviour Greenisle,3520,2,1250,4400000,Ready to Move,Resale,North - East
2,Flat,Freehold,4,4,Ghaziabad,Panchsheel Primrose,3415,2,819.9121523,2800000,Ready to Move,Resale,North
3,Flat,Freehold,2,5,Gurgaon,Smartworld One DXP,12486,3,1850.072081,23100000,Poss. by Apr '27,New Property,North
3,Flat,Leasehold,2,2,Ghaziabad,Vandana Apartment,8000,3,900,7200000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,4,Delhi,Rana Pratap Bagh,10000,3,1500,15000000,Ready to Move,Resale,East
2,Flat,Freehold,2,4,Ghaziabad,Paramount Mapple,4018,2,1119.960179,4500000,Ready to Move,Resale,North
3,Flat,Freehold,1,2,Ghaziabad,Vaishali Sector 6,6000,3,1200,7200000,Ready to Move,Resale,East
1,Flat,Freehold,2,5,Noida,Bhanauta Greater Noida,3968,1,630.0403226,2500000,Ready to Move,Resale,North - West
3,Flat,Co-operative Society,2,1,Ghaziabad,Rajnagar Residency,4928,3,1379.87013,6800000,Ready to Move,Resale,North - East
3,Flat,Freehold,2,1,Gurgaon,BPTP park prime,9743,3,1436.929077,14000000,Ready to Move,Resale,North - West
2,Flat,Leasehold,5,2,Noida,Mahagun Mantra 2,5156,2,1124.903026,5800000,Ready to Move,Resale,
5,Flat,,2,1,Noida,County 107,15221,5,6569.870574,100000000,Poss. by Jun '24,New Property,
1,Flat,,2,3,Delhi,Dwarka Sector 26,8571,1,350.0175009,3000000,Ready to Move,Resale,
4,Flat,,2,3,Ghaziabad,Vaishali,6111,4,1800.032728,11000000,Ready to Move,Resale,
2,Flat,,3,3,Delhi,DDA Flats Vasant Kunj,17176,2,850.0232883,14600000,Ready to Move,Resale,
5,Flat,,2,NA,Ghaziabad,Ram Prastha,8120,5,3509.852217,28500000,Ready to Move,New Property,
2,Flat,,3,NA,Ghaziabad,Mahagun Mascot,4000,2,1100,4400000,Ready to Move,Resale,
3,Flat,,4,NA,Noida,Mahagun Mezzaria,12400,3,2500,31000000,Ready to Move,Resale,
6,Flat,,NA,NA,Delhi,Karawal Nagar West,55789,6,95.00080661,5300000,Ready to Move,Resale,
3,Flat,Freehold,2,1,Delhi,Mahavir Enclave,7407,3,810.0445525,6000000,Ready to Move,New Property,North - East
4,Flat,Freehold,3,2,Noida,Chorosia Estate,3265,4,2450.229709,8000000,Ready to Move,Resale,North
2,Flat,Freehold,2,1,Noida,Chorosia Estate,4335,2,1614.763552,7000000,Ready to Move,Resale,South - East
5,Flat,Freehold,5,1,Noida,Stellar Sigma,4732,5,5600.169062,26500000,Ready to Move,Resale,North - East
3,Flat,Freehold,4,2,Delhi,Paschim Vihar,13889,3,1799.9856,25000000,Ready to Move,New Property,North - East
3,Flat,Leasehold,2,3,Delhi,Kanungo Apartments,18929,3,1399.968303,26500000,Ready to Move,Resale,North - West
1,Flat,Freehold,1,7,Gurgaon,Sector 56,8333,1,600.024001,5000000,Ready to Move,Resale,East
2,Flat,Freehold,2,2,Noida,Saya Zion,6000,2,1416.666667,8500000,Ready to Move,Resale,North - East
1,Flat,Freehold,1,1,Delhi,Rohini Sector 35,16593,1,108.4794793,1800000,Ready to Move,Resale,East
2,Flat,Freehold,2,5,Delhi,Vasant Kunj Sector C,4667,2,4799.657167,22400000,Ready to Move,Resale,East
2,Flat,Freehold,2,3,Delhi,Sewak Park,8000,2,315,2520000,Ready to Move,Resale,North
4,Flat,Freehold,3,1,Delhi,Kailash hills,4473,4,10060.36217,45000000,Ready to Move,New Property,North - East
3,Flat,Freehold,3,3,Noida,Paras Tierea,43182,3,162.1045806,7000000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,3,Ghaziabad,Kaushambi,10467,2,238.8458966,2500000,Ready to Move,Resale,
7,Flat,Freehold,3,4,Delhi,Rajokri New Delhi,3016,7,3149.867374,9500000,Ready to Move,Resale,
3,Flat,,3,2,Gurgaon,Ardee City,3964,3,3960.645812,15700000,Ready to Move,New Property,
1,Flat,,1,NA,Noida,Noida Extention,5312,1,357.6807229,1900000,Ready to Move,New Property,
1,Flat,,1,NA,Noida,Gaur City Mall,4000,1,625,2500000,Ready to Move,Resale,
1,Flat,,1,NA,Ghaziabad,Prem enclave,4444,1,495.049505,2200000,Ready to Move,Resale,
3,Flat,,3,NA,Ghaziabad,Landcraft Golf Links PH 2,4020,3,2114.427861,8500000,Ready to Move,New Property,
2,Flat,,1,NA,Ghaziabad,Shakti Khand 3,11579,2,293.6350289,3400000,Ready to Move,New Property,
2,Flat,,2,NA,Noida,Gulistanpur,6167,2,648.6135885,4000000,Ready to Move,Resale,
3,Flat,,3,NA,Delhi,Hilansh Apartments,10312,3,2133.436773,22000000,Ready to Move,Resale,
3,Flat,,3,NA,Noida,Ajnara Daffodil,NA,3,NA,8850000,Ready to Move,Resale,
5,Flat,,5,NA,Gurgaon,Anant Raj Manor Villas,NA,5,NA,110000000,Ready to Move,New Property,
3,Flat,,2,NA,Delhi,Harsukh Apartment,NA,3,NA,16500000,,Resale,
3,Flat,Freehold,3,3,Gurgaon,M3M Capital,10811,3,1664.970863,18000000,Poss. by Mar '25,Resale,North - East
1,Flat,Freehold,1,2,Noida,UPSIDC Site C Block E,4094,1,635.0757206,2600000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,1,Gurgaon,M3M Skywalk,13500,2,1444.444444,19500000,Ready to Move,New Property,East
2,Flat,Leasehold,2,2,Delhi,Bhagwati Garden Extension,4444,2,787.5787579,3500000,Ready to Move,Resale,South - East
4,Flat,Freehold,4,1,Ghaziabad,Lal Quarter Ghaziabad Ghaziabad,18580,4,215.285253,4000000,Ready to Move,Resale,North - East
3,Flat,Freehold,6,1,Noida,Vijayant Enclave,5500,3,6545.454545,36000000,Ready to Move,Resale,North
5,Flat,Freehold,1,1,Noida,Urbtech Xaviers,4110,5,5352.798054,22000000,Ready to Move,Resale,East
1,Flat,Freehold,1,3,Ghaziabad,Ghaziabad,5000,1,300,1500000,Ready to Move,Resale,North - East
2,Flat,Freehold,1,2,Delhi,Jama Masjid,6995,2,714.7962831,5000000,Ready to Move,Resale,West
1,Flat,Freehold,3,10,Delhi,Geeta Colony,2903,1,482.2597313,1400000,Ready to Move,Resale,East
3,Flat,Freehold,1,3,Gurgaon,DLF New Town Heights 1,4444,3,3037.80378,13500000,Ready to Move,Resale,North - West
2,Flat,Freehold,4,2,Noida,Sector MU 2,19697,2,63.46144083,1250000,Ready to Move,Resale,South -West
4,Flat,Leasehold,3,3,Gurgaon,Satya The Hermitage,8188,4,1465.559355,12000000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,3,Delhi,Jangpura Extension,3942,3,8244.545916,32500000,Ready to Move,Resale,East
3,Flat,Freehold,2,1,Gurgaon,BPTP Terra,12653,3,1185.489607,15000000,Ready to Move,New Property,East
3,Flat,,4,NA,Ghaziabad,Crossing Republic GH 7,6667,3,1019.949003,6800000,Ready to Move,Resale,
3,Flat,,3,NA,Gurgaon,Vipul Belmonte,2800,3,11071.42857,31000000,Ready to Move,Resale,
3,Flat,,3,NA,Ghaziabad,Ghaziabad,13590,3,309.0507726,4200000,Ready to Move,Resale,
3,Flat,,3,NA,Gurgaon,Guru Dronacharya Metro,9333,3,878.6028072,8200000,Ready to Move,Resale,
3,Flat,,2,NA,Gurgaon,U Block,8796,3,1591.63256,14000000,Ready to Move,Resale,
2,Flat,,4,NA,Gurgaon,U Block,13935,2,466.4513814,6500000,Ready to Move,Resale,
5,Flat,,7,NA,Gurgaon,Chauma Village,16000,5,593.75,9500000,Ready to Move,Resale,
7,Flat,,3,NA,Noida,Sector 49 Block A,7333,7,5727.53307,42000000,Ready to Move,New Property,
4,Flat,,1,NA,Gurgaon,Emaar MGF Emerald Hills,5600,4,5000,28000000,Ready to Move,Resale,
1,Flat,,2,NA,Delhi,Narela,NA,1,NA,2200000,Ready to Move,Resale,
3,Flat,,NA,NA,Ghaziabad,Vaishali Sector 5,NA,3,NA,7000000,,Resale,
3,Flat,Leasehold,3,1,Faridabad,Faridabad,6169,3,1539.957854,9500000,Ready to Move,Resale,East
2,Flat,Power Of Attorney,2,2,Noida,Galaxy North Avenue 2,4984,2,924.9598716,4610000,Ready to Move,Resale,East
4,Flat,Freehold,3,3,Gurgaon,Ramprasta AWHO,6512,4,2149.87715,14000000,Ready to Move,Resale,North
2,Flat,Freehold,1,2,Gurgaon,Om Vihar,6944,2,720.0460829,5000000,Ready to Move,Resale,South -West
5,Flat,Freehold,4,3,Delhi,Krishna Nagar New Delhi,26696,5,692.9877135,18500000,Ready to Move,Resale,North - East
2,Flat,Co-operative Society,2,2,Delhi,Apna Ghar,17901,2,810.0106139,14500000,Ready to Move,Resale,East
2,Flat,Freehold,2,3,Gurgaon,Tech Chand Nagar,3875,2,800,3100000,Ready to Move,Resale,South - East
4,Flat,Freehold,4,3,Delhi,Rohini Sector 18,14318,4,2200.027937,31500000,Ready to Move,Resale,East
2,Flat,Freehold,2,3,Noida,Sector 113,3426,2,899.007589,3080000,Ready to Move,Resale,East
2,Flat,Freehold,3,3,Delhi,DDA Devdoot Apartment,14000,2,1000,14000000,Ready to Move,Resale,East
2,Flat,Freehold,2,2,Noida,Sikka Karnam Greens,6915,2,939.9855387,6500000,Ready to Move,Resale,East
4,Flat,Co-operative Society,4,2,Noida,Sector 1 Greater Noida,5333,4,1800.112507,9600000,Ready to Move,New Property,North - East
3,Flat,Freehold,3,3,Gurgaon,Dharampur,7104,3,2393.018018,17000000,Ready to Move,Resale,South - East
3,Flat,,3,3,Delhi,Dwarka Sector 23,7542,3,1180.05834,8900000,Ready to Move,Resale,
2,Flat,,2,4,Ghaziabad,Palm Resort,4661,2,1180.004291,5500000,Ready to Move,New Property,
4,Flat,,4,4,Gurgaon,Vatika India Next Plots,6667,4,2399.880006,16000000,Ready to Move,New Property,
3,Flat,,2,NA,Faridabad,BPTP Park Elite Premium Villas,2520,3,2500,6300000,Ready to Move,New Property,
4,Flat,,3,NA,Ghaziabad,Indirapuram Ghaziabad,9082,4,2136.093372,19400000,Ready to Move,New Property,
1,Flat,,1,NA,Gurgaon,Housing Board Colony,5400,1,500,2700000,Poss. by Jun '25,Resale,
3,Flat,,2,NA,Gurgaon,Bajghera,9987,3,1572.043657,15700000,Ready to Move,Resale,
2,Flat,,2,NA,Faridabad,Omaxe Heights,4167,2,1199.904008,5000000,Ready to Move,Resale,
5,Flat,,5,NA,Noida,Sector 46 Block A Noida,13000,5,5000,65000000,Ready to Move,Resale,
3,Flat,,3,NA,Noida,Sunworld Vanalika,7803,3,1730.103806,13500000,Ready to Move,Resale,
3,Flat,,3,NA,Gurgaon,Ganpati Apartment,6667,3,2249.887506,15000000,Ready to Move,Resale,
1,Flat,,1,NA,Gurgaon,LIG Colony,16190,1,1050.030883,17000000,Ready to Move,Resale,
3,Flat,,3,NA,Gurgaon,LIG Colony,7419,3,1550.074134,11500000,,Resale,
1,Flat,Power Of Attorney,1,1,Delhi,Molarband Block F,7273,1,549.9793758,4000000,Ready to Move,Resale,North - East
3,Flat,Leasehold,2,1,Delhi,Chander Vihar - Mandawali,3667,3,899.9181893,3300000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,3,Noida,Jaypee Greens Krescent Homes,4228,2,1229.895932,5200000,Ready to Move,New Property,North - East
3,Flat,Co-operative Society,3,4,Noida,Jaypee Greens Krescent Homes,4464,3,1680.107527,7500000,Ready to Move,Resale,North - East
2,Flat,Leasehold,2,6,Noida,VVIP Homes,5630,2,1190.053286,6700000,Ready to Move,Resale,North
2,Flat,Freehold,2,1,Ghaziabad,Rajendra Nagar Sector 3,4000,2,800,3200000,Ready to Move,Resale,North - East
4,Flat,Freehold,4,2,Noida,Supertech The Romano,5263,4,1900.057002,10000000,Ready to Move,Resale,North - East
5,Flat,Freehold,5,1,Gurgaon,Adani M2K Oyster Grande,7787,5,7384.101708,57500000,Ready to Move,New Property,East
2,Flat,Freehold,2,3,Gurgaon,Laxman Vihar Industrial Area,5496,2,782.3871907,4300000,Ready to Move,Resale,North
3,Flat,Freehold,2,1,Faridabad,BPTP Pride,4057,3,2267.685482,9200000,Ready to Move,Resale,West
2,Flat,Freehold,1,3,Delhi,Ranaji Enclave,2793,2,769.7815968,2150000,Ready to Move,Resale,North - East
3,Flat,Leasehold,2,2,Delhi,Ranaji Enclave,17500,3,200,3500000,Ready to Move,Resale,East
3,Flat,Freehold,3,4,Gurgaon,Urban Estate Sector 4 Gurgaon,9690,3,3611.971104,35000000,Ready to Move,Resale,
2,Flat,Freehold,2,2,Gurgaon,PWO Appartments,8788,2,1422.394174,12500000,Ready to Move,Resale,
3,Flat,,2,4,Gurgaon,PWO Appartments,16722,3,867.1211578,14500000,Ready to Move,Resale,
7,Flat,,5,3,Noida,RWA Sector 61,7692,7,5850.234009,45000000,Poss. by Dec '23,Resale,
3,Flat,,2,2,Ghaziabad,Turab Nagar,5336,3,937.0314843,5000000,Ready to Move,Resale,
2,Flat,,2,NA,Delhi,Kailash Colony,3587,2,4599.944243,16500000,Ready to Move,Resale,
3,Flat,,3,NA,Ghaziabad,Om Sai Garden,3951,3,809.9215389,3200000,Ready to Move,Resale,
1,Flat,,1,NA,Delhi,JVTS Gardens,9833,1,162.7173803,1600000,Ready to Move,Resale,
4,Flat,,4,NA,Gurgaon,Ansals Palam Vihar,6154,4,4793.630159,29500000,Ready to Move,New Property,
3,Flat,,3,NA,Ghaziabad,Gaur Green City,7055,3,1700.921332,12000000,Poss. by Dec '24,Resale,
3,Flat,,2,NA,Faridabad,Greenfield Colony,18056,3,359.9911387,6500000,Ready to Move,Resale,
3,Flat,,3,NA,Delhi,Nehru Enclave,9333,3,3482.267224,32500000,Ready to Move,Resale,
2,Flat,,1,NA,Delhi,Bharat Nagar New Delhi,14545,2,340.3231351,4950000,Ready to Move,Resale,
1,Flat,,1,NA,Delhi,DDA Pocket D,7619,1,551.2534453,4200000,Ready to Move,Resale,
3,Flat,,3,NA,Gurgaon,Kenwood,NA,3,NA,16000000,,Resale,
3,Flat,Leasehold,3,3,Gurgaon,The Close South,7258,3,2480.022045,18000000,Ready to Move,Resale,East
2,Flat,Freehold,2,5,Noida,Sector 1 Greater Noida West,4284,2,1027.077498,4400000,Ready to Move,Resale,South - East
1,Flat,Power Of Attorney,1,2,Ghaziabad,Neeti Khand 1,4333,1,600.0461574,2600000,Ready to Move,Resale,North - East
4,Flat,Freehold,4,2,Ghaziabad,ATS Advantage,12262,4,3050.073397,37400000,Ready to Move,Resale,East
1,Flat,Freehold,2,2,Ghaziabad,Vaishali Sector 4,5091,1,549.9901787,2800000,Ready to Move,Resale,East
2,Flat,,2,3,Delhi,Paschim Vihar,9444,2,900.0423549,8500000,Ready to Move,Resale,North - West
3,Flat,,3,4,Noida,Noida Extension,4583,3,1200.087279,5500000,Ready to Move,Resale,
4,Flat,,5,1,Gurgaon,The Close South,9677,4,4650.201509,45000000,Ready to Move,Resale,
3,Flat,,4,NA,Gurgaon,Orchid Island,8125,3,1600,13000000,Ready to Move,Resale,
2,Flat,,2,NA,Noida,Hawelia Valenova Park,4278,2,935.0163628,4000000,Ready to Move,Resale,
2,Flat,,2,NA,Noida,Hawelia Valenova Park,3571,2,1120.134416,4000000,Ready to Move,New Property,
7,Flat,,3,NA,Ghaziabad,Jalalpur Ghaziabad,6359,7,1344.55103,8550000,Ready to Move,Resale,
3,Flat,,3,NA,Delhi,East Of Kailash,26389,3,1799.992421,47500000,Ready to Move,New Property,
2,Flat,,2,NA,Ghaziabad,Savy Ville De,20906,2,382.6652636,8000000,Ready to Move,Resale,
6,Flat,,5,NA,Delhi,Sitapuri New Delhi,8434,6,2134.218639,18000000,Ready to Move,New Property,
4,Flat,,5,NA,Gurgaon,Essel Towers,13500,4,1385.185185,18700000,Ready to Move,Resale,
4,Flat,,2,NA,Gurgaon,Mayfield Garden,6209,4,3382.187148,21000000,Ready to Move,New Property,
2,Flat,,3,NA,Noida,Noida,11000,2,436.3636364,4800000,Ready to Move,Other,
3,Flat,,2,NA,Delhi,Vasant Kunj Sector B,25455,3,1060.695345,27000000,Ready to Move,Resale,
2,Flat,,2,NA,Noida,JM Florence,12273,2,611.0975312,7500000,Ready to Move,Resale,
1,Flat,,3,NA,Delhi,Bindapur,NA,1,NA,1400000,,Resale,
5,Flat,,NA,NA,Delhi,Tagore Garden,NA,5,NA,27000000,,Resale,
8,Flat,Power Of Attorney,8,2,Delhi,Friends Colony New Delhi,65728,8,10649.95131,700000000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,1,Ghaziabad,Diya Green City,3243,2,925.0693802,3000000,Ready to Move,Resale,North - East
3,Flat,Freehold,2,2,Ghaziabad,Vaishali,4799,3,1250.260471,6000000,Ready to Move,New Property,North - East
3,Flat,Freehold,3,1,Gurgaon,RWA Builder Floor,9488,3,2150.084317,20400000,Ready to Move,New Property,East
